Start,End,Work,Game,Movie,Reading,Browsing,Youtube,Chores,Netflix,Cooking,Social,Teaching,Other...
30-11-14 17:24,30-11-14 18:12,,,,,,Dota 2,,,,,,
30-11-14 18:12,30-11-14 18:34,,,,,x,,,,,,,
30-11-14 18:35,30-11-14 21:58,,GW2,,,,,,,,,,
30-11-14 21:58,30-11-14 22:21,,,,,,x,,,,,,
30-11-14 22:21,30-11-14 22:49,,,,"Ethics, technology, and engineering",,,,,,,,
01-12-14 14:17,01-12-14 14:46,,,,,,,x,,,,,
01-12-14 14:46,01-12-14 15:08,,,,,,,,,,x,,
01-12-14 15:08,01-12-14 15:18,,,,,,x,,,,,,
01-12-14 15:18,01-12-14 16:51,,GW2,,,,,,,,,,
01-12-14 16:51,01-12-14 17:23,,,,,,,x,,,,,
01-12-14 17:24,01-12-14 18:00,,,,,,,,,x,,,
01-12-14 18:02,01-12-14 18:38,,,,,,x,,,,,,
01-12-14 18:38,01-12-14 20:34,,GW2,,,,,,,,,,
01-12-14 20:36,01-12-14 20:44,,,,,,,x,,,,,
01-12-14 20:44,01-12-14 21:04,,,,,x,,,,,,,
01-12-14 21:04,01-12-14 21:58,,,,"Ethics, technology, and engineering",,,,,,,,
02-12-14 16:21,02-12-14 16:36,,,,,x,,,,,,,
02-12-14 16:36,02-12-14 18:06,,GW2,,,,,,,,,,
02-12-14 18:06,02-12-14 18:47,,,,,,,,,x,,,
02-12-14 18:47,02-12-14 19:06,,,,,,x,,,,,,
02-12-14 19:06,02-12-14 19:23,,,,x,,,,,,,,
02-12-14 19:29,02-12-14 21:00,,GW2,,,,,,,,,,
02-12-14 21:00,02-12-14 21:14,,,,"Ethics, technology, and engineering",,,,,,,,
02-12-14 21:14,02-12-14 21:33,,,,,,,x,,,,,
02-12-14 21:36,02-12-14 21:58,,,,,,x,,,,,,
02-12-14 21:59,02-12-14 22:20,,,,x,,,,,,,,
03-12-14 19:57,03-12-14 20:18,,,,,,,,,x,,,
03-12-14 20:18,03-12-14 21:18,,,,,,x,,,,,,
03-12-14 21:18,03-12-14 21:21,,,,,x,,,,,,,
03-12-14 21:21,03-12-14 22:28,,GW2,,,,,,,,,,
03-12-14 22:28,03-12-14 22:40,Margreetschouwenaar,,,,,,,,,,,
03-12-14 22:46,03-12-14 23:08,,SF4,,,,,,,,,,
04-12-14 19:03,04-12-14 19:40,,,,,,,,,x,,,
04-12-14 19:41,04-12-14 20:42,,,,,,x,,,,,,
04-12-14 20:42,04-12-14 21:50,,GW2,,,,,,,,,,
04-12-14 21:51,04-12-14 22:09,,,,,,,x,,,,,
04-12-14 22:13,04-12-14 22:54,,GW2,,,,,,,,,,
05-12-14 18:24,05-12-14 18:52,,,,,,,x,,,,,
05-12-14 18:52,05-12-14 19:26,,,,,,,,,x,,,
05-12-14 19:28,05-12-14 20:10,,,,,,x,,,,,,
05-12-14 20:16,05-12-14 20:25,,,,x,,,,,,,,
05-12-14 20:25,05-12-14 21:16,Design Ethics,,,,,,,,,,,
05-12-14 21:19,06-12-14 01:14,,GW2,,,,,,,,,,
06-12-14 08:52,06-12-14 10:54,,,,,,,,,,x,,
06-12-14 10:57,06-12-14 11:01,Design Ethics,,,,,,,,,,,
06-12-14 11:01,06-12-14 11:42,,,,,,,x,,,,,
06-12-14 11:42,06-12-14 12:23,,GW2,,,,,,,,,,
06-12-14 12:23,06-12-14 12:43,,,,,,,x,,,,,
06-12-14 12:43,06-12-14 12:52,,,,x,,,,,,,,
06-12-14 13:10,06-12-14 13:22,,,,,x,,,,,,,
06-12-14 13:35,06-12-14 17:15,,,,,,,,,,x,,
06-12-14 17:16,06-12-14 17:44,,,,,,,,,x,,,
06-12-14 17:46,06-12-14 20:22,,,,,,,,,,x,,
06-12-14 20:46,07-12-14 06:12,,,,,,,,,,x,,
07-12-14 14:16,07-12-14 14:42,,,,,,x,,,,,,
07-12-14 14:42,07-12-14 14:59,,,,,x,,,,,,,
07-12-14 14:59,07-12-14 17:17,,GW2,,,,,,,,,,
07-12-14 17:17,07-12-14 18:00,,,,,,,x,,,,,
07-12-14 18:00,07-12-14 18:22,,,,,,x,,,,,,
07-12-14 18:22,07-12-14 19:12,Data Visualization,,,,,,,,,,,
07-12-14 19:12,07-12-14 19:27,,,,,,x,,,,,,
07-12-14 19:27,07-12-14 19:48,Data Visualization,,,,,,,,,,,
07-12-14 19:48,07-12-14 20:53,,GW2,,,,,,,,,,
07-12-14 20:53,07-12-14 21:06,,,,,,x,,,,,,
07-12-14 21:06,07-12-14 21:15,Design Ethics,,,,,,,,,,,
07-12-14 21:28,07-12-14 21:33,,,,,x,,,,,,,
07-12-14 21:41,07-12-14 21:43,Data Visualization,,,,,,,,,,,
08-12-14 13:41,08-12-14 14:15,,,,,,,x,,,,,
08-12-14 14:16,08-12-14 14:55,,GW2,,,,,,,,,,
08-12-14 14:56,08-12-14 16:02,,,,,,,x,,,,,
08-12-14 16:04,08-12-14 18:09,,,,,,,,,,x,,
08-12-14 18:14,08-12-14 19:15,Design Ethics,,,,,,,,,,,
08-12-14 19:16,08-12-14 22:16,,,,,,,,,,,CSS,
08-12-14 22:18,08-12-14 22:25,Design Ethics,,,,,,,,,,,
08-12-14 22:26,08-12-14 23:12,,GW2,,,,,,,,,,
09-12-14 16:13,09-12-14 17:19,,,,,,,x,,,,,
09-12-14 17:19,09-12-14 17:44,,,,,,x,,,,,,
09-12-14 17:44,09-12-14 18:02,,GW2,,,,,,,,,,
09-12-14 18:02,09-12-14 18:43,,,,,x,,,,,,,
09-12-14 18:43,09-12-14 19:23,,,,,,,x,,,,,
09-12-14 19:23,09-12-14 21:20,,,,,,,,,,x,,
09-12-14 21:24,09-12-14 22:21,Design Ethics,,,,,,,,,,,
09-12-14 22:24,09-12-14 23:25,,GW2,,,,,,,,,,
10-12-14 19:11,10-12-14 19:41,,,,,,,,,Fusilli,,,
10-12-14 19:41,10-12-14 19:52,,,,,,x,,,,,,
10-12-14 19:52,10-12-14 20:21,,,,,x,,,,,,,
10-12-14 20:21,10-12-14 20:35,,,,,,,x,,,,,
10-12-14 20:35,10-12-14 23:04,,GW2,,,,,,,,,,
10-12-14 23:04,10-12-14 23:23,,,,,,,x,,,,,
10-12-14 23:23,10-12-14 23:45,Yetiland,,,,,,,,,,,
11-12-14 18:13,11-12-14 19:01,,,,,,,,,x,,,
11-12-14 19:01,11-12-14 19:23,,,,,,x,,,,,,
11-12-14 19:23,11-12-14 19:30,,,,,x,,,,,,,
11-12-14 19:30,11-12-14 20:52,,,,,,,x,,,,,
11-12-14 20:52,11-12-14 21:17,,,,,,,,,,x,,
11-12-14 21:17,11-12-14 21:45,,,,,x,,,,,,,
11-12-14 21:45,11-12-14 23:36,,,,,,,x,,,,,
12-12-14 18:39,12-12-14 18:50,,,,,,,,,Nasi,,,
12-12-14 18:50,12-12-14 19:25,,,,,,x,,,,,,
12-12-14 19:25,12-12-14 20:32,Setting up a closet,,,,,,,,,,,
12-12-14 20:33,12-12-14 21:19,,,,,,x,,,,,,
13-12-14 13:33,13-12-14 13:38,,,,,,x,,,,,,
13-12-14 13:38,13-12-14 13:44,,,,,x,,,,,,,
13-12-14 13:44,13-12-14 14:12,Data Visualization,,,,,,,,,,,
13-12-14 14:20,13-12-14 14:56,,GW2,,,,,,,,,,
13-12-14 14:58,13-12-14 18:28,Setting up a closet,,,,,,,,,,,
13-12-14 18:28,13-12-14 18:49,,,,,,,,,,x,,
13-12-14 18:49,13-12-14 20:13,Setting up a closet,,,,,,,,,,,
13-12-14 20:13,13-12-14 20:43,,,,,,,,,,x,,
13-12-14 20:58,13-12-14 21:25,,,,,,x,,,,,,
13-12-14 21:34,13-12-14 23:55,,GW2,,,,,,,,,,
14-12-14 09:55,14-12-14 10:24,Data Visualization,,,,,,,,,,,
14-12-14 11:04,14-12-14 11:29,,GW2,,,,,,,,,,
14-12-14 11:29,14-12-14 11:52,,,,,,x,,,,,,
